# phase-5L rung-41/42 surge-line + bleed oracle — key	u64 bits	repr
# cpython 3.14.3
pistar/cpg	4614493437651525338	3.246744584965069
pistar/tpg	4614493437651525338	3.246744584965069
pistar/eq	4614493437651525338	3.246744584965069
pistar/gamma_c/0	4614201565278183939	3.1171272133108245
pistar/gamma_c/1	4614347906305518193	3.18211568450834
pistar/gamma_c/2	4614493437651525338	3.246744584965069
pistar/gamma_c/3	4614638203211163808	3.311033407958419
phi_surge/carried	4603129179135383962	0.55
phi_surge/psi_bare/0	4608509854790184862	1.29475
phi_surge/psi_armed/0	4608509854790184862	1.29475
phi_surge/psi_bare/1	4607645163661729727	1.1027500000000001
phi_surge/psi_armed/1	4607645163661729727	1.1027500000000001
phi_surge/psi_bare/2	4607182418800017408	1.0
phi_surge/psi_armed/2	4607182418800017408	1.0
phi_surge/psi_bare/3	4605885382107334706	0.8560000000000001
phi_surge/psi_armed/3	4605885382107334706	0.8560000000000001
r42/0.00/cpg/0.00/400/abort	4618441417868443648	6.0
r42/0.00/cpg/0.00/500/abort	4620693217682128896	8.0
r42/0.00/cpg/0.00/600/abort	4620693217682128896	8.0
r42/0.00/cpg/0.00/650/abort	4620693217682128896	8.0
r42/0.00/cpg/0.00/900/abort	4611686018427387904	2.0
r42/0.00/cpg/0.00/1100/abort	4611686018427387904	2.0
r42/0.00/cpg/0.00/1500/abort	4611686018427387904	2.0
r42/0.00/cpg/0.30/400/abort	4618441417868443648	6.0
r42/0.00/cpg/0.30/500/abort	4620693217682128896	8.0
r42/0.00/cpg/0.30/600/abort	4620693217682128896	8.0
r42/0.00/cpg/0.30/650/abort	4620693217682128896	8.0
r42/0.00/cpg/0.30/900/abort	0	0.0
r42/0.00/cpg/0.30/900/n_pass	4620693217682128896	8.0
r42/0.00/cpg/0.30/900/pi_lpc	4611990085807330143	2.1350330424997277
r42/0.00/cpg/0.30/900/pi_hpc	4616237639208354971	4.042651352313579
r42/0.00/cpg/0.30/900/eta_lpc	4606166970688835077	0.887262612665325
r42/0.00/cpg/0.30/900/eta_hpc	4606063036815143683	0.8757236347042582
r42/0.00/cpg/0.30/900/eta_hpt	4606461842859638129	0.92
r42/0.00/cpg/0.30/900/eta_lpt	4606281698874543309	0.9
r42/0.00/cpg/0.30/900/n_lp	4605026293948478082	0.7606220545854543
r42/0.00/cpg/0.30/900/n_hp	4605705540940583158	0.836033619589698
r42/0.00/cpg/0.30/900/N_lp_ratio	4604636590491241789	0.7173562794854785
r42/0.00/cpg/0.30/900/N_hp_ratio	4604923340408767292	0.7491919155600963
r42/0.00/cpg/0.30/900/slip	4606799673188953081	0.9575067010022159
r42/0.00/cpg/0.30/900/phi_lp	4605181249253597366	0.7778255493385788
r42/0.00/cpg/0.30/900/phi_hp	4606685368268944276	0.9448163056000447
